    Ret       0        5       10       15       20       25       30       35       40       45       50       55       60       65       70       75       80       85       90       95      100      105      110      115      120      125      130      135      140      145      150      155      160      165      170      175      180      185      190      195      200      205      210      215      220      225      230      235      240      245      250      255      260      265      270      275      280      285      290      295      300      305      310      315      320      325      330      335      340      345      350      355      360   
    111   -62.038  -57.455  -68.541  -57.011  -65.856  -64.190  -56.467  -66.964  -57.066  -61.443  -65.007  -57.121  -63.271  -67.313  -57.547  -64.918  -69.416  -56.510  -66.082  -67.349  -56.634  -59.329  -70.970  -66.053  -54.298  -65.232  -61.488  -55.774  -64.195  -63.126  -54.225  -63.362  -63.452  -54.304  -62.245  -67.267  -60.942  -55.225  -67.497  -66.420  -57.972  -60.370  -67.459  -65.348  -57.550  -59.884  -68.183  -64.840  -55.950  -55.723  -64.959  -57.731  -49.681  -66.519  -73.083  -67.604  -58.511  -54.812  -65.062  -68.084  -66.205  -60.572  -59.281  -54.723  -56.766  -54.196  -45.619  -50.220  -59.365  -61.906  -59.901  -56.428  -58.477 
    116   -52.600  -56.877  -61.382  -47.792  -64.226  -54.305  -52.481  -62.315  -51.632  -55.453  -57.081  -47.687  -60.355  -60.076  -51.408  -65.422  -59.410  -47.621  -61.028  -61.968  -47.966  -59.155  -64.618  -52.624  -49.827  -61.510  -58.236  -47.969  -62.257  -55.038  -48.142  -60.257  -56.071  -47.158  -58.000  -59.655  -47.847  -51.158  -63.420  -58.301  -48.417  -59.296  -66.040  -55.332  -46.016  -59.311  -60.794  -52.002  -45.185  -53.367  -60.390  -49.590  -42.502  -52.055  -58.029  -56.660  -46.678  -51.928  -55.263  -58.179  -56.226  -54.431  -49.351  -46.158  -56.189  -50.951  -46.323  -53.610  -56.442  -57.821  -57.404  -59.735  -63.146 
    121   -45.212  -59.104  -47.054  -49.281  -56.001  -42.426  -55.716  -49.216  -44.322  -55.143  -45.216  -44.588  -57.092  -47.246  -50.800  -57.554  -44.823  -51.224  -56.001  -49.585  -43.440  -56.979  -48.975  -40.358  -54.545  -52.237  -40.908  -48.476  -52.842  -39.567  -50.314  -53.963  -42.683  -44.882  -53.584  -45.532  -41.795  -50.700  -52.904  -43.911  -48.370  -56.103  -51.933  -44.955  -50.468  -56.798  -47.373  -39.216  -47.119  -54.938  -48.267  -37.599  -47.732  -48.589  -42.829  -35.407  -43.278  -51.327  -49.319  -43.365  -34.156  -32.451  -36.952  -46.132  -44.979  -38.855  -42.118  -49.747  -50.321  -54.930  -53.690  -56.086  -58.571 
    126   -49.535  -48.992  -36.528  -51.029  -43.570  -42.021  -48.174  -37.076  -43.493  -45.074  -34.493  -43.200  -44.454  -40.169  -52.554  -45.671  -36.768  -48.614  -48.333  -35.825  -47.291  -47.467  -33.910  -43.204  -47.808  -35.860  -37.631  -47.041  -38.781  -34.363  -41.970  -41.957  -34.753  -42.676  -44.330  -32.445  -41.471  -47.185  -41.907  -33.529  -44.803  -47.416  -38.760  -40.106  -54.268  -51.648  -37.009  -40.062  -48.520  -46.512  -35.189  -38.224  -43.184  -40.177  -32.699  -32.691  -38.219  -41.268  -41.761  -30.717  -33.152  -37.265  -39.518  -35.061  -29.227  -37.075  -44.484  -55.803  -56.453  -49.190  -48.226  -53.450  -52.934 
    131   -42.736  -34.114  -31.835  -42.289  -30.578  -38.551  -39.497  -28.591  -37.493  -35.110  -29.237  -37.035  -34.845  -34.006  -44.757  -33.698  -33.881  -43.092  -35.116  -29.989  -41.564  -37.365  -27.038  -35.967  -38.628  -27.071  -36.728  -35.852  -27.335  -34.106  -39.711  -30.449  -29.008  -39.768  -35.792  -27.478  -33.858  -40.576  -30.767  -32.972  -40.381  -38.518  -29.716  -34.054  -45.093  -35.497  -29.520  -37.735  -42.169  -36.832  -27.675  -37.003  -38.092  -29.924  -23.527  -28.418  -36.861  -35.549  -28.827  -23.274  -27.344  -40.315  -42.242  -38.637  -38.328  -50.417  -54.153  -47.825  -37.355  -39.838  -47.650  -50.836  -44.730 
    136   -31.632  -23.624  -33.965  -28.248  -23.398  -33.246  -25.576  -26.447  -31.371  -22.977  -25.449  -28.355  -20.935  -34.113  -32.634  -24.763  -36.270  -32.644  -20.374  -31.975  -32.372  -21.372  -29.700  -31.501  -24.615  -29.106  -32.100  -22.057  -26.377  -32.245  -26.399  -20.436  -30.451  -29.157  -24.446  -24.459  -31.030  -28.477  -22.608  -30.400  -34.096  -27.462  -23.625  -35.355  -37.459  -24.538  -27.930  -34.960  -30.672  -20.859  -25.243  -32.927  -26.276  -19.276  -24.880  -25.055  -27.869  -22.687  -18.589  -18.768  -26.860  -32.314  -24.808  -23.297  -31.635  -40.228  -36.619  -30.032  -26.876  -39.129  -43.780  -40.286  -30.879 
    141   -18.755  -19.890  -27.225  -17.608  -20.746  -25.991  -21.722  -19.523  -23.143  -16.881  -20.832  -20.536  -15.162  -26.452  -24.845  -23.303  -28.848  -24.669  -19.160  -25.351  -25.144  -19.489  -25.751  -26.589  -18.263  -24.504  -24.470  -16.985  -22.598  -26.342  -19.019  -19.998  -25.052  -25.117  -17.747  -20.216  -25.063  -22.045  -18.043  -24.101  -26.072  -20.573  -18.449  -21.429  -26.716  -17.237  -23.194  -28.548  -26.251  -18.777  -21.561  -24.013  -19.207  -16.631  -19.086  -21.406  -20.543  -16.216  -14.719  -17.803  -22.724  -25.143  -21.939  -18.689  -20.757  -30.672  -29.513  -25.370  -25.177  -30.251  -37.272  -34.365  -27.351 
    146   -14.358  -15.492  -22.299  -12.559  -16.074  -22.200  -12.469  -14.427  -20.153  -12.679  -16.634  -17.118  -11.161  -18.006  -23.014  -18.215  -24.246  -22.374  -17.274  -22.594  -21.670  -17.125  -22.177  -22.126  -15.638  -21.940  -21.773  -14.305  -18.740  -20.879  -14.631   16.624  -21.808  -20.481  -14.240  -17.037  -23.967  -21.976  -15.587  -19.771  -23.652  -18.527  -17.102  -20.060  -23.538  -16.317  -20.118  -25.927  -23.341  -16.126  -18.598  -22.498  -18.783  -12.372  -15.641  -18.181  -18.835  -13.982  -11.481  -13.433  -19.372  -22.086  -18.094  -15.028  -15.682  -23.517  -28.056  -25.224  -21.911  -28.340  -33.269  -33.073  -27.391 
    151    -9.070  -14.659  -16.786    9.886   15.589  -16.666    8.319   14.059  -15.585   10.944   16.617  -15.118    9.339  -15.932  -16.485  -15.303  -20.632  -18.267   16.917  -22.508  -19.107   17.444   23.340   20.046   17.488   22.612   19.788   15.837   19.629   21.934   16.770   18.863   22.540   20.377   15.529   18.103   21.928   19.504   15.436   19.221   22.365   15.375   16.022   20.211  -20.313   15.376   19.554   23.204  -19.910   15.588   18.613   22.008   17.356   11.977   15.285   18.622  -17.632   13.434   13.123   15.191   18.351  -20.356   16.858   14.415   16.350   23.452  -23.745  -23.934   21.326   25.483   30.231  -31.465  -25.961 
    156    13.326   13.779   18.119   15.016   15.895   17.422   14.272   14.895   19.269   14.792   18.590   20.003   17.640   20.702   20.124   13.692   20.570   21.315   19.672   23.699   24.228   19.980   25.639   25.665   19.192   24.897   25.839   20.378   20.213   26.549   22.867   19.960   24.822   25.617   20.916   19.743   24.529   24.985   18.281   21.398   23.398   22.012   18.420   21.412   23.718   19.353   18.972   23.970   23.152   18.245   20.065   24.852   21.744   17.682   19.260   21.237   22.079   19.822   16.908   16.935   20.681   23.385   22.031   18.379   18.481   23.769   26.126   26.701   23.278   25.760   33.778   40.833   21.805 
